ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
EDAC,medium_airport,Altenburg-Nobitz Airport,640,EU,DE,DE-TH,Altenburg,EDAC,AOC,,"12.506389, 50.981945"
EDAH,medium_airport,Heringsdorf Airport,93,EU,DE,DE-MV,Heringsdorf,EDAH,HDF,,"14.152299881, 53.8787002563"
EDBM,medium_airport,"Magdeburg ""City"" Airport",259,EU,DE,DE-ST,Magdeburg,EDBM,ZMG,,"11.626389, 52.073612"
EDBN,medium_airport,Neubrandenburg Airport,228,EU,DE,DE-MV,Neubrandenburg,EDBN,FNB,,"13.306, 53.6022"
EDBR,medium_airport,Rothenburg/Görlitz Airport,518,EU,DE,DE-SN,Rothenburg/Oberlausitz,EDBR,,,"14.949999809265137, 51.36333465576172"
EDDB,large_airport,Berlin-Schönefeld Airport,157,EU,DE,DE-BR,Berlin,EDDB,SXF,,"13.5225, 52.380001"
EDDC,large_airport,Dresden Airport,755,EU,DE,DE-SN,Dresden,EDDC,DRS,,"13.767200469970703, 51.1328010559082"
EDDE,medium_airport,Erfurt Airport,1036,EU,DE,DE-TH,Erfurt,EDDE,ERF,,"10.958100318908691, 50.979801177978516"
EDDF,large_airport,Frankfurt am Main Airport,364,EU,DE,DE-HE,Frankfurt am Main,EDDF,FRA,,"8.570556, 50.033333"
EDDG,large_airport,Münster Osnabrück Airport,160,EU,DE,DE-NW,Münster,EDDG,FMO,,"7.68483018875, 52.134601593"
EDDH,large_airport,Hamburg Airport,53,EU,DE,DE-HH,Hamburg,EDDH,HAM,,"9.9882297515869, 53.630401611328"
EDDK,large_airport,Cologne Bonn Airport,302,EU,DE,DE-NW,Cologne,EDDK,CGN,,"7.1427397728, 50.8658981323"
EDDL,large_airport,Düsseldorf Airport,147,EU,DE,DE-NW,Düsseldorf,EDDL,DUS,,"6.76678, 51.289501"
EDDM,large_airport,Munich Airport,1487,EU,DE,DE-BY,Munich,EDDM,MUC,,"11.7861, 48.353802"
EDDN,large_airport,Nuremberg Airport,1046,EU,DE,DE-BY,Nuremberg,EDDN,NUE,,"11.078056, 49.498699"
EDDP,large_airport,Leipzig/Halle Airport,465,EU,DE,DE-SN,Leipzig,EDDP,LEJ,,"12.236389, 51.423889"
EDDR,medium_airport,Saarbrücken Airport,1058,EU,DE,DE-SL,Saarbrücken,EDDR,SCN,,"7.10950994492, 49.214599609400004"
EDDS,large_airport,Stuttgart Airport,1276,EU,DE,DE-BW,Stuttgart,EDDS,STR,,"9.22196006775, 48.689899444599995"
EDDT,large_airport,Berlin-Tegel Airport,122,EU,DE,DE-BE,Berlin,EDDT,TXL,,"13.2877, 52.5597"
EDDV,large_airport,Hannover Airport,183,EU,DE,DE-NI,Hannover,EDDV,HAJ,,"9.685079574580001, 52.461101532"
EDDW,large_airport,Bremen Airport,14,EU,DE,DE-HB,Bremen,EDDW,BRE,,"8.78666973114, 53.0475006104"
EDFE,medium_airport,Frankfurt-Egelsbach Airport,384,EU,DE,DE-HE,Frankfurt am Main,EDFE,,,"8.645833, 49.959999"
EDFH,medium_airport,Frankfurt-Hahn Airport,1649,EU,DE,DE-RP,Frankfurt am Main,EDFH,HHN,,"7.26389, 49.9487"
EDFM,medium_airport,Mannheim-City Airport,308,EU,DE,DE-BW,Mannheim,EDFM,MHG,,"8.514167, 49.473057"
EDFZ,medium_airport,Mainz-Finthen Airport,525,EU,DE,DE-RP,Mainz,EDFZ,,,"8.147222, 49.967499"
EDGE,medium_airport,Eisenach-Kindel Airport,1112,EU,DE,DE-TH,Eisenach,EDGE,EIB,,"10.47973, 50.991604"
EDGS,medium_airport,Siegerland Airport,1966,EU,DE,DE-NW,,EDGS,SGE,,"8.082969665527344, 50.707698822021484"
EDHI,medium_airport,Hamburg-Finkenwerder Airport,23,EU,DE,DE-HH,Hamburg,EDHI,XFW,,"9.835556030273438, 53.5352783203125"
EDHK,medium_airport,Kiel-Holtenau Airport,102,EU,DE,DE-SH,Kiel,EDHK,KEL,,"10.145277976989746, 54.37944412231445"
EDHL,medium_airport,Lübeck Blankensee Airport,53,EU,DE,DE-SH,Lübeck,EDHL,LBC,,"10.7192001343, 53.8054008484"
EDJA,medium_airport,Memmingen Allgau Airport,2077,EU,DE,DE-BY,Memmingen,EDJA,FMM,,"10.2395000458, 47.988800048799995"
EDLN,medium_airport,Mönchengladbach Airport,125,EU,DE,DE-NW,Mönchengladbach,EDLN,MGL,,"6.504444, 51.230278"
EDLP,medium_airport,Paderborn Lippstadt Airport,699,EU,DE,DE-NW,Paderborn,EDLP,PAD,,"8.616319656369999, 51.614101409899995"
EDLV,medium_airport,Weeze Airport,106,EU,DE,DE-NW,Weeze,EDLV,NRN,,"6.14216995239, 51.6024017334"
EDLW,large_airport,Dortmund Airport,425,EU,DE,DE-NW,Dortmund,EDLW,DTM,,"7.61223983765, 51.51829910279999"
EDMA,medium_airport,Augsburg Airport,1516,EU,DE,DE-BY,Augsburg,EDMA,AGB,,"10.931667, 48.425278"
EDMO,medium_airport,Oberpfaffenhofen Airport,1947,EU,DE,DE-BY,,EDMO,OBF,,"11.2831, 48.081402"
EDNY,medium_airport,Friedrichshafen Airport,1367,EU,DE,DE-BW,Friedrichshafen,EDNY,FDH,,"9.51148986816, 47.671298980699994"
EDOP,medium_airport,Schwerin Parchim Airport,166,EU,DE,DE-MV,,EDOP,SZW,,"11.7834, 53.426998"
EDQA,medium_airport,Airport Bamberg-Breitenau,811,EU,DE,DE-BY,Bamberg,EDQA,,,"10.914233, 49.920403"
EDQD,medium_airport,Bayreuth Airport,1601,EU,DE,DE-BY,Bayreuth,EDQD,BYU,,"11.64, 49.985001"
EDQM,medium_airport,Hof-Plauen Airport,1959,EU,DE,DE-BY,Hof,EDQM,HOQ,,"11.856389045715332, 50.288612365722656"
EDSB,large_airport,Karlsruhe Baden-Baden Airport,408,EU,DE,DE-BW,Baden-Baden,EDSB,FKB,,"8.08049964905, 48.7793998718"
EDTD,medium_airport,Donaueschingen-Villingen Airport,2231,EU,DE,DE-BW,Donaueschingen,EDTD,ZQL,,"8.52222156525, 47.97333145139999"
EDTL,medium_airport,Lahr Airport,511,EU,DE,DE-BW,,EDTL,LHA,,"7.82772016525, 48.3693008423"
EDTY,medium_airport,Adolf Würth Airport,1299,EU,DE,DE-BW,Schwäbisch Hall,EDTY,,,"9.783888816829998, 49.1183319092"
EDUZ,medium_airport,Zerbst Airport,289,EU,DE,DE-ST,Zerbst/Anhalt,EDUZ,,,"12.148611, 52.000832"
EDVE,medium_airport,Braunschweig-Wolfsburg Airport,295,EU,DE,DE-NI,Braunschweig,EDVE,BWE,,"10.5561, 52.319199"
